_index,chapter,name_a,name_b,relationship,原文
1,2,周进,夏总甲,"夏总甲请了六十岁老童生周进在观音庵办学堂作教书先生。Village Head Hsia helped Shen Hsiang-fu to arrange for Chou Chin, a 60-year-old scholar, to work as a teacher at school of Kuanyin Temple.","次日，夏总甲果然替周先生说了，每年馆金十二两银子，每日二分银子在和尚家代饭，约定灯节后下乡，正月二十开馆。The next day, sure enough, Village Head Hsia spoke to Chou Chin. His salary would be twelve taels of silver a year, and it was arranged that he should eat with the monk, whom he would pay two cents a day. It was settled that he should come after the Lantern Festival, and begin teaching on the twentieth."
2,2,周进,梅玖,"周进在观音庵当老师的时候因老童生身份遭受秀才梅玖当众嘲笑。When Chou Chin was teaching at Guanyin An, he was publicly ridiculed by the new scholar Mei Chiu because of his status as an old scholar who did not pass the prefectural examination. ","念罢，说道：“像我这周长兄如此大才，呆是不呆的了。”又掩著口道：“秀才，指日就是﹔那‘吃长斋，胡须满腮’，竟被他说一个著！”说罢，哈哈大笑。众人一齐笑起来。周进不好意思。After this recitation he said, “A learned man like Mr. Chou here is certainly not foolish.” Then, putting his hand over his mouth to hide a smile, he added, “But he should become a scholar soon, and the description of the fasting and the whiskers is true to life.” He gave a loud guffaw, and everybody laughed with him, while Chou Chin did not know which way to look."
3,2,周进,金有馀,周进被辞退职位，随姐夫金有馀去省城做生意。Chou Chin was dismissed from his teaching position and left with his brother-in-law Chin Yin-yu to do business in the provincial capital.,"后来夏总甲也嫌他呆头呆脑，不知道常来承谢，由著众人把周进辞了来家。那年却失了馆，在家日食艰难。一日，他姊丈金有馀来看他，……“我如今同了几个大本钱的人到省城去买卖，差一个记帐的人，你不如同我们去走走。”  At the end of that time, however, Village Head Hsia also became convinced that the teacher was a fool, because Chou Chin did not come often enough to flatter him. So Hsia allowed the villagers to dismiss him. One day his brother-in-law, Chin Yin-yu, came to see him, ……, I am going to the provincial capital with some other merchants to buy goods, and we need someone to keep accounts. Why don’t you come with us?"
5,3,周进,范进,"范进，周进学生，周进十分欣赏他。Fan Chin was a student of Chou Chin, Chou appreciated him so much.","又取过范进卷子来看。看罢，不觉叹息道：“这样文字，连我看一两遍也不能解，直到三遍之后，才晓得是天地间之至文！真乃一字一珠！可见世上糊涂试官，不知屈煞了多少英才！”忙取笔细细圈点，卷面上加了三圈，即填了第一名。Then he read Fan Chin’s paper again. This time he gave a gasp of amazement. “Even I failed to understand this paper the first two times I read it!” he exclaimed. “But, after reading it for the third time, I realize it is the most wonderful essay in the world — every word a pearl. This shows how often bad examiners must have suppressed real genius.” Hastily taking up his brush, he carefully drew three circles on Fan Chin’s paper, marking it as first."
16,7,周进,严贡生,严贡生冒认周进做亲戚未果。Senior Licentiate Yen pretended to be a relative of Chou Chin but failed.,"话说严贡生因立嗣兴讼，府、县都告输了，司里又不理，只得飞奔到京，想冒认周学台的亲戚，到部里告状。Senior Licentiate Yen lost his case in the county and prefectural courts and the provincial commissioner of justice ignored his petition, he travelled post-haste to the capital, deciding to claim relationship with Commissioner Chou, in the hope that the latter would plead his case for him."
18,7,周进,荀玫,荀玫是周进学生。Hsun Mei was Chou Chin’s student.,"周司业道：“山东虽是我故乡，我却也没有甚事相烦﹔只心里记得训蒙的时候，乡下有个学生，叫做荀玫，那时才得七岁，这又过了十多年，想也长成人了。他是个务农的人家，不知可读得成书，若是还在应考，贤契留意看看。果有一线之明，推情拔了他，也了我一番心愿。” “Although Shantung is my native place, I have no commissions to trouble you with,” said Chou Chin. “I remember, though, that when I was teaching in Hsueh Market there was a pupil there called Hsun Mei, ……, And if he shows any talent at all, I should be very much obliged if you would let him pass.”"
5,3,范进,周进,"范进，周进学生，周进十分欣赏他。Fan Chin was a student of Chou Chin, Chou appreciated him so much.","又取过范进卷子来看。看罢，不觉叹息道：“这样文字，连我看一两遍也不能解，直到三遍之后，才晓得是天地间之至文！真乃一字一珠！可见世上糊涂试官，不知屈煞了多少英才！”忙取笔细细圈点，卷面上加了三圈，即填了第一名。Then he read Fan Chin’s paper again. This time he gave a gasp of amazement. “Even I failed to understand this paper the first two times I read it!” he exclaimed. “But, after reading it for the third time, I realize it is the most wonderful essay in the world — every word a pearl. This shows how often bad examiners must have suppressed real genius.” Hastily taking up his brush, he carefully drew three circles on Fan Chin’s paper, marking it as first."
6,3,范进,胡屠户,"胡屠户，范进丈人，看不起范进经常对其辱骂，范进中举后改变态度讨好他。Butcher Hu was Fan Chin 's father-in-law and often looked down on him and insulted him, but after Fan Chin passed the provincial examination, he changed his attitude to please him. ","正待烧锅做饭，只见他丈人胡屠户，手里拿着一副大肠和一瓶酒，走了进来。范进向他作揖，坐下。胡屠户道：“我自倒运，把个女儿嫁与你这现世宝，穷鬼，历年以来，不知累了我多少。…” They were preparing a meal when his father-in-law arrived, bringing pork sausages and a bottle of wine. Fan Chin greeted him, and they sat down together. “Since I had the bad luck to marry my daughter to a scarecrow like you,” said Butcher Hu, “Heaven knows how much you have cost me.”"
7,3,范进,张敬斋,"张乡绅张静斋，范进中举后前来拜访拉拢关系。Chang Chinchai, a local gentry, visited Fan Chin to make a relationship with him after he passed the provincial examination.","张乡绅先攀谈道：“世先生同在桑梓，一向有失亲近。”范进道：“晚生久仰老先生，只是无缘，不曾拜会。”张乡绅道：“适才看见题名录，贵房师高要县汤公，就是先祖的门生。我和你是亲切的世弟兄。” Mr. Chang began the conversation. ‘‘Sir,” he said, “although we live in the same district, I have never been able to call on you.” “I have long respected you,” replied Fan Chin, “but have never had the chance to pay you a visit.” “Just now I saw the list of successful candidates. Your patron, Mr. Tang, was a pupil of my grandfather; so I feel very close to you.”"
9,4,范进,严贡生,范进，张敬斋在关帝庙与严贡生结识。The two of them met Senior Licentiate Yen at a temple.,"那人道：“贱姓严，舍下就在咫尺。去岁宗师案临，幸叨岁荐，与我这汤父母是极好的相与。...”   “My name is Yen, and I live nearby. Last year, when my patron came to supervise the examination, I was lucky enough to be chosen senior licentiate. I am a good friend of Magistrate Tang’s……”"
13,4,范进,汤奉,范进是汤奉的门生。Fan Chin was also Tang Feng’s student.,"知县汤奉接了帖子，一个写“世侄张师陆”，一个写“门生范进”，自心里沈吟道：“张世兄屡次来打秋风，甚是可厌﹔但这回同我新中的门生来见，不好回他。” Magistrate Tang received their cards, on one of which was written “Your nephew Chang Chin-chai” and on the other “Your student Fan Chin.” “Chang has come time and again to get money: he is a confounded nuisance,” he thought. “Still, since he has come with my newly successful student today, I had better not send him away.”"
17,7,范进,荀玫,"范进升任山东学道，周进嘱托范进提拔之前的学生荀玫。Fan Chin was promoted to be commissioner of education for Shantung, and Chou Chin entrusted Fan Chin to promote his former student, Hsun Mei.","周司业道：“山东虽是我故乡，我却也没有甚事相烦﹔只心里记得训蒙的时候，乡下有个学生，叫做荀玫，那时才得七岁，这又过了十多年，想也长成人了。他是个务农的人家，不知可读得成书，若是还在应考，贤契留意看看。果有一线之明，推情拔了他，也了我一番心愿。” “Although Shantung is my native place, I have no commissions to trouble you with,” said Chou Chin. “I remember, though, that when I was teaching in Hsueh Market there was a pupil there called Hsun Mei, ……, And if he shows any talent at all, I should be very much obliged if you would let him pass.”"
19,7,范进,蘧景玉,蘧景玉是范进的幕客。Chu Chin-yu was secretary of Fan Chin.,"内中一个少年幕客蘧景玉说道…… “Sir,” said a young secretary called Chu Chin-yu……"
20,7,范进,牛布衣,牛布衣是范进的幕客。 Niu Pu-yi was secretary of Fan Chin.,"一个年老的幕客牛布衣道…… At that, Niu Pu-yi, an old secretary, suggested, ……"
22,7,范进,梅玖,"梅玖文章差被范进批评，谎称是周进学生免于责罚。Mei Chiu 's essay was criticized by Fan Chin, but he falsely claimed to be a student of Chou Chin to avoid punishment.",
7,3,张敬斋,范进,"张乡绅张静斋，范进中举后前来拜访拉拢关系。Chang Chinchai, a local gentry, visited Fan Chin to make a relationship with him after he passed the provincial examination.","张乡绅先攀谈道：“世先生同在桑梓，一向有失亲近。”范进道：“晚生久仰老先生，只是无缘，不曾拜会。”张乡绅道：“适才看见题名录，贵房师高要县汤公，就是先祖的门生。我和你是亲切的世弟兄。” Mr. Chang began the conversation. ‘‘Sir,” he said, “although we live in the same district, I have never been able to call on you.” “I have long respected you,” replied Fan Chin, “but have never had the chance to pay you a visit.” “Just now I saw the list of successful candidates. Your patron, Mr. Tang, was a pupil of my grandfather; so I feel very close to you.”"
10,4,张敬斋,严贡生,范进，张敬斋在关帝庙与严贡生结识。The two of them met Senior Licentiate Yen at a temple.,
12,4,张敬斋,汤奉,汤奉，张敬斋想攀附他。Chang Chinchai wanted to establish connections with Magistrate Tang.,"知县汤奉接了帖子，一个写“世侄张师陆”，一个写“门生范进”，自心里沈吟道：“张世兄屡次来打秋风，甚是可厌﹔但这回同我新中的门生来见，不好回他。” Magistrate Tang received their cards, on one of which was written “Your nephew Chang Chin-chai” and on the other “Your student Fan Chin.” “Chang has come time and again to get money: he is a confounded nuisance,” he thought. “Still, since he has come with my newly successful student today, I had better not send him away.”"
9,4,严贡生,范进,范进，张敬斋在关帝庙与严贡生结识。The two of them met Senior Licentiate Yen at a temple.,"那人道：“贱姓严，舍下就在咫尺。去岁宗师案临，幸叨岁荐，与我这汤父母是极好的相与。...”   “My name is Yen, and I live nearby. Last year, when my patron came to supervise the examination, I was lucky enough to be chosen senior licentiate. I am a good friend of Magistrate Tang’s……”"
10,4,严贡生,张敬斋,范进，张敬斋在关帝庙与严贡生结识。The two of them met Senior Licentiate Yen at a temple.,
11,4,严贡生,汤奉,自称是汤知县的好友。Yen claimed to be a good friend of Magistrate Tang.,"那人道：“贱姓严，舍下就在咫尺。去岁宗师案临，幸叨岁荐，与我这汤父母是极好的相与。...”   “My name is Yen, and I live nearby. Last year, when my patron came to supervise the examination, I was lucky enough to be chosen senior licentiate. I am a good friend of Magistrate Tang’s……”"
15,5,严贡生,严监生,"严监生，严贡生的弟弟，哥哥逃跑后出钱找王德王仁替他打官司。Yen Ta-yu, Senior Licentiate Yen 's younger brother, who helped to defend his elder brother after he fled.","知县准了状子，发房出了差，来到严家，严贡生已是不在家了，只得去会严二老官。二老官叫做严大育，字致和﹔他哥字致中﹔两人是同胞弟兄，却在两个宅里住。这严致和是个监生，家有十多万银子。严致和见差人来说了此事，他是个胆小有钱的人，见哥子又不在家，不敢轻慢，随即留差人吃了酒饭，拿两千钱打发去了。忙着小厮去请两位舅爷来商议。Then they went to his younger brother Yen Ta-yu. These two brothers did not live together……. When the runners showed him the warrant and he learned that his brother was not at home, he dared not offend them. He entertained them to a meal, gave them two thousand coins and sent them off. Then he hurriedly ordered a servant to ask his two brothers-in-law over to discuss the matter."
16,7,严贡生,周进,严贡生冒认周进做亲戚未果。Senior Licentiate Yen pretended to be a relative of Chou Chin but failed.,"话说严贡生因立嗣兴讼，府、县都告输了，司里又不理，只得飞奔到京，想冒认周学台的亲戚，到部里告状。Senior Licentiate Yen lost his case in the county and prefectural courts and the provincial commissioner of justice ignored his petition, he travelled post-haste to the capital, deciding to claim relationship with Commissioner Chou, in the hope that the latter would plead his case for him."
51,18,严贡生,匡超人,"景兰江邀匡超人去给胡三先生祝寿，路上遇到严贡生，景兰江介绍他们俩认识。Ching Lan-chiang invited Kuang Chao-jen to celebrate the birthday of Mr. Hu, and on the way, they met Yen Chih-chung. Ching Lan-chiang introduced them to each other.",
2,2,梅玖,周进,"周进在观音庵当老师的时候因老童生身份遭受秀才梅玖当众嘲笑。When Chou Chin was teaching at Guanyin An, he was publicly ridiculed by the new scholar Mei Chiu because of his status as an old scholar who did not pass the prefectural examination. ","念罢，说道：“像我这周长兄如此大才，呆是不呆的了。”又掩著口道：“秀才，指日就是﹔那‘吃长斋，胡须满腮’，竟被他说一个著！”说罢，哈哈大笑。众人一齐笑起来。周进不好意思。After this recitation he said, “A learned man like Mr. Chou here is certainly not foolish.” Then, putting his hand over his mouth to hide a smile, he added, “But he should become a scholar soon, and the description of the fasting and the whiskers is true to life.” He gave a loud guffaw, and everybody laughed with him, while Chou Chin did not know which way to look."
22,7,梅玖,范进,"梅玖文章差被范进批评，谎称是周进学生免于责罚。Mei Chiu 's essay was criticized by Fan Chin, but he falsely claimed to be a student of Chou Chin to avoid punishment.",
17,7,荀玫,范进,"范进升任山东学道，周进嘱托范进提拔之前的学生荀玫。Fan Chin was promoted to be commissioner of education for Shantung, and Chou Chin entrusted Fan Chin to promote his former student, Hsun Mei.","周司业道：“山东虽是我故乡，我却也没有甚事相烦﹔只心里记得训蒙的时候，乡下有个学生，叫做荀玫，那时才得七岁，这又过了十多年，想也长成人了。他是个务农的人家，不知可读得成书，若是还在应考，贤契留意看看。果有一线之明，推情拔了他，也了我一番心愿。” “Although Shantung is my native place, I have no commissions to trouble you with,” said Chou Chin. “I remember, though, that when I was teaching in Hsueh Market there was a pupil there called Hsun Mei, ……, And if he shows any talent at all, I should be very much obliged if you would let him pass.”"
18,7,荀玫,周进,荀玫是周进学生。Hsun Mei was Chou Chin’s student.,"周司业道：“山东虽是我故乡，我却也没有甚事相烦﹔只心里记得训蒙的时候，乡下有个学生，叫做荀玫，那时才得七岁，这又过了十多年，想也长成人了。他是个务农的人家，不知可读得成书，若是还在应考，贤契留意看看。果有一线之明，推情拔了他，也了我一番心愿。” “Although Shantung is my native place, I have no commissions to trouble you with,” said Chou Chin. “I remember, though, that when I was teaching in Hsueh Market there was a pupil there called Hsun Mei, ……, And if he shows any talent at all, I should be very much obliged if you would let him pass.”"
23,7,荀玫,王惠,"同乡王惠与荀玫同年考中进士，陪同荀玫回家治丧。Hsun Mei 's fellow graduate Wang Hui, who also passed the provincial examination in the same year as Hsun Mei, accompanied him home to attend his father's funeral.","这日正磕著头，外边传呼接帖，说：“同年同乡王老爷来拜。” While this ceremony was being performed, it was announced, “Mr. Wang Hui, a fellow graduate from Wenshang County, has come to greet Mr. Hsun.”"
23,7,王惠,荀玫,"同乡王惠与荀玫同年考中进士，陪同荀玫回家治丧。Hsun Mei 's fellow graduate Wang Hui, who also passed the provincial examination in the same year as Hsun Mei, accompanied him home to attend his father's funeral.","这日正磕著头，外边传呼接帖，说：“同年同乡王老爷来拜。” While this ceremony was being performed, it was announced, “Mr. Wang Hui, a fellow graduate from Wenshang County, has come to greet Mr. Hsun.”"
24,8,王惠,蘧景玉,"王惠赴任南昌府太守，与蘧太守之子蘧景玉交接，蘧景玉曾在范进门下读书。Wang Hui was appointed as the governor of Nanchang Prefecture. There he met Chu Chin-yu, the son of the former governor Prefect Chu, who had previously studied under Fan Chin.","蘧公子道：“家君做县令时，晚生尚幼，相随敝门伯范老先生在山东督学幕中读书，也帮他看看卷子。直到升任南昌，署内无人办事，这数年总在这里的。” “When my father was a district magistrate I was still young. I studied in Shantung with the examiner, Mr. Fan, whom I helped to look through the examination papers; but for some years now — ever since my father was promoted to Nanchang and needed someone to help him — I have been with him here.”"
25,8,王惠,蘧公孙,"宁王反叛时王惠降顺，后兵败逃至浙江乌镇时遇到蘧公孙，公孙赠他二百两银子，王惠将《高青邱集诗话》给了他，公孙以自己名字发表出来，成了少年名士。Wang Hui met Chu Hsien-fu when he fled from Nanchang, Chu gifted him two hundred taels of silver. Wang Hui gave him a book called "" Random Notes on Poetry by Kao Chi"", and Chu Hsien-fu printed copies in his own name, becoming a brilliant young scholar.","蘧公孙听了，心里想道：“此书既是天下没有第二本，何不竟将他缮写成帙，添了我的名字，刊刻起来，做这一番大名？”  When his grandson heard that there was not another copy of this book in the world, he thought: “Why shouldn’t I print some copies in my own name? That would win me fame.” …… All who saw this book were so delighted with it that they could hardly bear to put it down; and henceforward Prefect Chu’s grandson was known throughout western Chekiang as a brilliant young scholar."
25,8,蘧公孙,王惠,"宁王反叛时王惠降顺，后兵败逃至浙江乌镇时遇到蘧公孙，公孙赠他二百两银子，王惠将《高青邱集诗话》给了他，公孙以自己名字发表出来，成了少年名士。Wang Hui met Chu Hsien-fu when he fled from Nanchang, Chu gifted him two hundred taels of silver. Wang Hui gave him a book called "" Random Notes on Poetry by Kao Chi"", and Chu Hsien-fu printed copies in his own name, becoming a brilliant young scholar.","蘧公孙听了，心里想道：“此书既是天下没有第二本，何不竟将他缮写成帙，添了我的名字，刊刻起来，做这一番大名？”  When his grandson heard that there was not another copy of this book in the world, he thought: “Why shouldn’t I print some copies in my own name? That would win me fame.” …… All who saw this book were so delighted with it that they could hardly bear to put it down; and henceforward Prefect Chu’s grandson was known throughout western Chekiang as a brilliant young scholar."
26,8,蘧公孙,蘧景玉,"蘧公孙时蘧景玉的儿子蘧太守的孙子。Chu Hsien-fu is Chu Chin-yu’s son, grandson of Prefect Chu.","王惠道：“当日在南昌相会的少爷，台讳是景玉，想是令叔？”蘧公孙道：“这便是先君。” / 王惠道：“尊姓？”那少年道：“姓蘧。”王惠道：“向日有位蘧老先生，曾做过南昌太守，可与足下一家？”那少年惊道：“便是家祖。老客何以见问？”王惠道：“原来是蘧老先生的令公孙，失敬了。” “I met Prefect Chu’s son, Chin-yu, at Nanchang,” said Wang. “Is he your uncle?” “He was my father.” /  “May I know your honourable name?” “My name is Chu Hsien-fu.” “There used to be a Prefect Chu at Nanchang. Is he any relation of yours?” “He is my grandfather! But how did you guess?” “So you are Prefect Chu’s grandson! I am delighted to meet you.”"
27,8,蘧公孙,蘧太守,"蘧公孙时蘧景玉的儿子蘧太守的孙子。Chu Hsien-fu is Chu Chin-yu’s son, grandson of Prefect Chu.",
